Dragon's Lair(tm) Game	LAIR 	Dragon's Lair	Dragon's Lair
DragonStrike(tm) Game	DRAG	Advanced Dungeons & Dragons - Dragon Strike	Advanced Dungeons & Dragons - Dragon Strike
DuckTales 2(tm) Game	TALE	Duck Tales 2	Duck Tales 2
Dungeon Magic(tm) Game	MAGIC	Dungeon Magic - Sword of the Elements	Dungeon Magic - Sword of the Elements
Dynowarz--The Destruction of Spondylus(tm) Game	DYNO	Dynowarz - The Destruction of Spondylus	Dynowarz - The Destruction of Spondylus
Elevator Action(tm) Game	ELEV	Elevator Action	Elevator Action
Eliminator Boat Duel(tm) Game		Eliminator Boat Duel	Eliminator Boat Duel
Excitebike(tm) Game	BIKE	Excitebike	Excitebike
F-15 City War(tm) Game	F-15	F-15 City War	F-15 City War
Fantasy Zone(tm) Game	FAN	Fantasy Zone	Fantasy Zone
Faria(tm) Game	FAR	Faria - A World of Mystery & Danger!	Faria - A World of Mystery & Danger!
Faxanadu(tm) Game	FAX	Faxanadu	Faxanadu
Felix the Cat(tm) Game	FELI	Felix the Cat	Felix the Cat
Final Fantasy(tm) Game	FINAL	Final Fantasy	Final Fantasy
Firehawk(tm) Game	FIRE	Fire Hawk	Fire Hawk
Fist of the North Star(tm) Game	FIST	Fist of the North Star	Fist of the North Star
Flight of the Intruder(tm) Game	INT	Flight of the Intruder	Flight of the Intruder
Flying Dragon(tm)--The Secret Scroll(tm) Game	FLY	Flying Dragon - The Secret Scroll	Flying Dragon - The Secret Scroll
Formula One: Built to Win(tm) Game	BTW	Formula One - Built To Win	Formula One - Built To Win
Fox's Peter Pan and the Pirates(tm) Game	PETE 	Peter Pan & The Pirates	Peter Pan & The Pirates
Frankenstein the Monster Returns(tm) Game		Frankenstein - The Monster Returns	Frankenstein - The Monster Returns
Freedom Force(tm) Game	FREE	Freedom Force	Freedom Force
Friday the 13th(tm) Game	13TH	Friday the 13th	Friday the 13th
Fun House(tm) Game	FUN	Fun House	Fun House
G.I. Joe(tm) Game	G.I.	G.I. Joe	G.I. Joe
G.I. Joe(tm): The Atlantis Factor Game		G.I. Joe - The Atlantis Factor	G.I. Joe - The Atlantis Factor
Galaga(tm) Demons of Death(tm) Game	GALA	Galaga - Demons of Death	Galaga - Demons of Death
Galaxy 5000(tm) Game	GAL	Galaxy 5000	Galaxy 5000
Gauntlet II(tm) Game	GAUNT	Gauntlet II	Gauntlet II
Ghostbusters(tm) Game	GB	Ghostbusters	Ghostbusters
Ghostbusters(tm) II Game	BUST	Ghostbusters II	Ghostbusters II
Ghosts 'n Goblins(tm) Game	GOB	Ghosts 'N Goblins	Ghosts 'N Goblins
Gilligan's Island(tm) Game	GILL	Adventures of Gilligan's Island, The	Adventures of Gilligan's Island, The
Goal Two(tm) Game		Goal! Two	Goal! Two
Godzilla(tm) Game	ZILLA	Godzilla - Monster of Monsters!	Godzilla - Monster of Monsters!
Gold Medal Challenge(tm) Game		Gold Medal Challenge '92	Gold Medal Challenge '92
Golf Grand Slam(tm) Game		Golf Grand Slam	Golf Grand Slam
Golga 13(tm)--Top Secret Episode(tm) Game	GOL	Golgo 13 - Top Secret Episode	Golgo 13 - Top Secret Episode
Golga 13(tm): The Mafat Conspiracy(tm) Game	MAFAT	Mafat Conspiracy - Golgo 13	Mafat Conspiracy - Golgo 13
Goonies II(tm) Game	GOON	Goonies II, The	Goonies II, The
Gotcha!(tm) The Sport!(tm) Game	GOT	Gotcha! - The Sport!	Gotcha! - The Sport!
Gradius(tm) Game	GRAD	Gradius	Gradius
Gremlins 2: The New Batch(tm) Game	GREM	Gremlins 2 - The New Batch	Gremlins 2 - The New Batch
Guerilla War(tm) Game	WAR	Guerrilla War	Guerrilla War
Gumshoe(tm) Game	GUM	Gumshoe	Gumshoe
Gyromite(tm) Game	GYRO	Gyromite	Gyromite
Gyruss(tm) Game	RUSS	Gyruss	Gyruss
Harlem Globetrotters(tm) Game	TROT	Harlem Globetrotters	Harlem Globetrotters
Heavy Barrel(tm) Game	BAR	Heavy Barrel	Heavy Barrel
Heavy Shreddin'(tm) Game	SHRED	Heavy Shreddin'	Heavy Shreddin'
Hillsfar(tm) Game	FAR	Advanced Dungeons & Dragons - Hillsfar	Advanced Dungeons & Dragons - Hillsfar
Hogan's Alley(tm) Game	HOGE	Hogan's Alley	Hogan's Alley
Home Alone 2(tm) Game	HOME2	Home Alone 2 - Lost in New York	Home Alone 2 - Lost in New York
Hook(tm) Game	HOOK	Hook	Hook
Hudson Hawk(tm) Game		Hudson Hawk	Hudson Hawk
Hudson's Adventure Island(tm) Game	AI	Hudson's Adventure Island	Hudson's Adventure Island
Hydlide(tm) Game	LIDE	Hydlide	Hydlide
Ice Climber(tm) Game	ICE	Ice Climber	Ice Climber
Ikari III: The Rescue(tm) Game	IKAR	Ikari III - The Rescue	Ikari III - The Rescue
Ikari Warriors(tm) Game	IK	Ikari Warriors	Ikari Warriors
Ikari Warriors(tm) II: Victory Road(tm) Game	VICT	Ikari Warriors II - Victory Road	Ikari Warriors II - Victory Road
Imagefight(tm) Game	IMAGE	Image Fight	Image Fight
Indiana Jones and the Last Crusade(tm) Game	JONES	Indiana Jones and the Last Crusade	Indiana Jones and the Last Crusade
Indiana Jones and the Temple of Doom(tm) Game	INDY	Indiana Jones and the Temple of Doom	Indiana Jones and the Temple of Doom
Infiltrator(tm) Game	TRATOR	Infiltrator	Infiltrator
Iron Tank(tm) Game	TANK	Iron Tank - The Invasion of Normandy	Iron Tank - The Invasion of Normandy
IronSword(tm)--Wizards & Warriors(tm) II Game	IRON	Ironsword - Wizards & Warriors II	Ironsword - Wizards & Warriors II
Isolated Warrior(tm) Game	ISO	Isolated Warrior	Isolated Warrior
Ivan "Ironman" Stewart's Super Off-Road(tm) Game	OFF	Ivan Ironman Stewart's Super Off-Road	Ivan Ironman Stewart's Super Off-Road
Jackal(tm) Game	JACK	Jackal	Jackal
Jackie Chan's Action Kung Fu(tm) Game	CHAN	Jackie Chan's Action Kung Fu	Jackie Chan's Action Kung Fu
James Bond Jr.(tm) Game	BOND	James Bond Jr	James Bond Jr
Jaws(tm) Game	JAW	Jaws	Jaws
Jimmy Connors Tennis(tm) Game	JIM	Jimmy Connor's Tennis	Jimmy Connor's Tennis
Joe & Mac(tm) Game	JNM	Joe & Mac - Caveman Ninja	Joe & Mac - Caveman Ninja
Journey to Silius(tm) Game	SILI	Journey to Silius	Journey to Silius
Joust(tm) Game	JOUS	Joust	Joust
Jurassic Park(tm) Game	DINO 	Jurassic Park	Jurassic Park
Kabuki - Quantum Fighter(tm) Game	QUAN	Kabuki - Quantum Fighter	Kabuki - Quantum Fighter
Karnov(tm) Game	KARN	Karnov	Karnov
Kickle Cubicle(tm) Game	KICK	Kickle Cubicle	Kickle Cubicle
Kickmaster(tm) Game		Kick Master	Kick Master
Kid Icarus(tm) Game	KID	Kid Icarus	Kid Icarus
Kid Klown(tm) Game	KID	Kid Klown	Kid Klown
Kid Kool(tm) Game	KOOL	Kid Kool and the Quest for the 7 Wonder Herbs	Kid Kool and the Quest for the 7 Wonder Herbs
