1942(tm) Game	'42	1942
Jackal(tm) Game	JACK	Jackal
Jackie Chan's Action Kung Fu(tm) Game 	CHAN	Jackie Chan's Action Kung Fu
James Bond Jr. (tm) Game	BOND	James Bond Jr
Jaws (tm) Game	JAW	Jaws
Jimmy Connors Tennis(tm) Game	JIM	Jimmy Connor's Tennis
Joe & Mac (tm) Game	JNM	Joe & Mac - Caveman Ninja
Journey to Silius(tm) Game	SILI	Journey to Silius
Joust(tm) Game	JOUS	Joust
Jurassic Park(tm) Game	DINO 	Jurassic Park
Kabuki - Quantum Fighter(tm) Game	QUAN	Kabuki - Quantum Fighter
Karnov(tm) Game	KARN	Karnov
Kickle Cubicle(tm) Game	KICK	Kickle Cubicle
Kid Icarus(tm) Game	KID	Kid Icarus
Kid Klown(tm) Game	KID	Kid Klown
Kid Kool(tm) Game	KOOL	Kid Kool and the Quest for the 7 Wonder Herbs
Kid Niki, Radical Ninja(tm) Game	NIKI	Kid Niki - Radical Ninja
King's Knight(tm) Game	KING	King's Knight
Kirby's Adventure(tm) Game	KIRB	Kirby's Adventure
Kiwi Kraze(tm) Game	KIWI	Kiwi Kraze - A Bird-Brained Adventure!
Klax(tm) Game	KLAX	Klax
Knight Rider(tm) Game	RIDE	Knight Rider
Krusty's Fun House (tm) Game	FUN	Krusty's Fun House
Kung Fu Heroes(tm) Game	HERO	Kung-Fu Heroes
Kung Fu(tm) Game	KUNG	Kung Fu
Last Action Hero (tm) Game	LAST 	Last Action Hero
Legacy of the Wizard(tm) Game	WIZ	Legacy of the Wizard
Legendary Wings(tm) Game	WING	Legendary Wings
Legends of the Diamond(tm) Game	BASE	Legends of the Diamond - The Baseball Championship Game
Lemmings(tm) Game	LEM	Lemmings
Lethal Weapon (tm) Game	LETH	Lethal Weapon
Life Force(tm) Game	LIFE	Life Force
Little Nemo: The Dream Master(tm) Game	NEMO	Little Nemo - The Dream Master
Little Samson (tm) Game	SAM	Little Samson
Lode Runner(tm) Game	LODE	Lode Runner
Low G Man(tm) Game	LOW	Low G Man - The Low Gravity Man
M.C. Kids(tm) Game	KIDS	M.C Kids
M.U.L.E.(tm) Game	MULE	M.U.L.E.
M.U.S.C.L.E.(tm) Game	MUSC	M.U.S.C.L.E.
MIG 29 Soviet Fighter (tm) Game	MIG	MiG 29 - Soviet Fighter
Mad Max(tm) Game	MAX	Mad Max
MagMax(tm) Game	MAX	Magmax
Mappy Land(tm) Game	MAP	Mappy-Land
Marble Madness(tm) Game	MAD	Marble Madness
Mario Bros.(tm) Game	BROS	Mario Bros.
Mechanized Attack(tm) Game	MEC	Mechanized Attack
Mega Man 6(tm) Game	MM6	Megaman VI
MegaMan 2(tm) Game	MEGA	Megaman II
MegaMan 3(tm) Game	MEGA	Megaman III
MegaMan 4(tm) Game	MM4	Megaman IV
