10-Yard Fight
Pocahontas (Pirate)
Pocahontas 2 (Pirate)
Pocket Monster (Pirate)
Poke Block
Poke Tetris
Pokemon Gold (Pirate)
Poker II
Poker III
Poker Mahjong
Port Test Cartridge
Power Punch 2
Power Rangers III (Pirate)
Prince of Persia
Princess Tomato in Salad Kingdom
Pro Action Replay
Punch-Out!!
Puzzle
Pyramid
Pyramid II
Q Boy
Quattro Sports
R.B.I. Baseball
R.B.I. Baseball 2
R.B.I. Baseball 3
Racermate Challenger II V6.02.002
Racket Attack
Rackets & Rivals
Rad Racer 2
Rad Racket - Deluxe Tennis II
Raid 2020
Rainbow Islands - The Story of Bubble Bobble 2
Rampart
Remote Control
Rescue - The Embassy Mission
Road Fighter
RoboCop 2
RoboCop Vs The Terminator
Robodemons
Rock 'n' Ball
Rockball
Rocman X (aka Thunder Blaster Man)
Rod Land
Romance of The Three Kingdoms
Romance of The Three Kingdoms II
Roundball - 2-on-2 Challenge
Rygar
Saint Seiya - Ougon Densetsu Kanketsu Hen
Samurai Spirits (Pirate)
Scarabeus
Sea of Dreamland
Secret Scout in the Temple of Demise
Secret Ties
Sesame Street 123
Sesame Street 123 - ABC
Sesame Street ABC
Sesame Street Countdown
Shadowgate
Shanghai Tycoon
Shingen The Ruler
Shisen Mahjong
Shisen Mahjong - Seifuku Hen
Shockwave
Short Order - Eggsplode
Shui Guan Pipe
Side Pocket
Sidewinder
Silent Assault
Silver Eagle
Skate or Die!
Smurfs, The
Snoopy's Silly Sports Spectacular
Snowboard Challenge
Solitaire
Sonic 3D Blast (Pirate)
Sonic The Hedgehog (Pirate)
Space Boy
Space Shuttle Project
Spider-Man - Return of the Sinister Six
Spiderman 2
Spiritual Warfare
Spot
Square Force
Squashed
Stack Up (Block Set)
Stadium Events
Stanley - The Search for Dr. Livingston
Star Trek V - The Final Frontier
Strategist
Street Fighter II (Pirate)
Street Fighter III (Pirate)
Street Fighter IV (Pirate)
Street Fighter V (Pirate)
Street Fighter Zero 2 (Pirate)
Street Heroes
Strike Wolf (MGC-014)
Summer Carnival '92 - Recca
Sunday Funday
Sunman
Super Cars
Super Contra 7 (Pirate)
Super Contra X (Pirate)
Super Dodge Ball
Super Donkey Kong (Pirate)
Super Donkey Kong 2 (Pirate)
Super Glove Ball
Super Jeopardy!
Super Mario Bros. + Duck Hunt
Super Mario Bros. + Duck Hunt + World Class Track Meet
Super Mario Bros. + Tetris + Nintendo World Cup
Super Mario Bros. - Hack Collection
Super Mario Bros. 2 (J)
Super Mario World (Pirate)
Super Pang
Super Pang 2
Super Shinobi, The
Super Sonic 5 (Pirate)
Super Spike V'Ball
Super Spike V'Ball + Nintendo World Cup
Super Spy Hunter
Super Team Games
Super Turrican
Swamp Thing
Sword Master
Taboo - The Sixth Sense
Tag Team Wrestling
Tagin' Dragon
Taiwan Mahjong 16
Taiwan Mahjong 2
Taro's Quest
Tasac
Tecmo Baseball
Tecmo Cup - Soccer Game
Tekken 2
Tekken 3
Tennis
Terminator, The
Thomas the Tank Engine and Friends
Three Stooges
Thunder & Lightning
Thunder Warrior
Tiles of Fate
Time Diver Avenger
Time Diver Eon Man
Times of Lore
Tiny Toon Adventures 6
Tiny Toon Adventures Cartoon Workshop
Titan Warriors
Titanic 1912
Tobidase Daisakusen (FDS Conversion)
Toita Basketball
Tom & Jerry 3
Tombs & Treasure
Top Gun III
Top Players' Tennis - Featuring Chris Evert & Ivan Lendl
Top Rider
Touch Down Fever
Toxic Crusaders
Toy Story
Track & Field
Track & Field II
Treasure Master
Trog
Trolls in Crazyland, The
Trolls on Treasure Island
U-Force Test Cartridge
U-four-ia - The Saga
Ultimate Air Combat
Ultimate Basketball
Ultimate League Soccer
Um Chi (Glommy Chess)
Uncharted Waters
Uninvited
Urban Strike
Vegas Dream
Venice Beach Volleyball
Videomation
Volleyball
WCW World Championship Wrestling
WWF King of the Ring
WWF WrestleMania - Steel Cage Challenge
Wait and See!
Wall Street Kid
Wally Bear & the No Gang
Wario's Woods
Wayne Gretzky Hockey
Wheel of Fortune - Starring Vanna White
Where in Time is Carmen Sandiego
Widget
Win, Lose or Draw
Winning Goal 5
Winter Games
Wizardry - The Knight of Diamonds
World Champ
World Games
World Hero
World Heroes 2
World of Card Game, The
Xybots
Yanshan Chess
Yoshi's Cookie
Yuu Yuu Hakusho Final - Makai Saikyou Retsuden
Zhong Guo Xiang Qi
Zombie Nation
No official Galoob codes for 535 games
