'89 Dennou Kyuusei Uranai
Chiyonofuji no Ooichou
Choplifter
Choujikuu Yousai - Macross
Choujin Sentai - Jetman
Chu Da D
Chu Han Zheng Ba - The War Between Chu & Han
Chu Liu Xiang
Chuugoku Janshi Story - Tonpuu
Chuugoku Senseijutsu
Chuugoku Taitei
Chuuka Taisen
Circus Charlie
City Adventure Touch - Mystery of Triangle
Classic Concentration
Clu Clu Land D
Cobra Mission (CN-27)
Cocoron
Color A Dinosaur
Columbus - Ougon no Yoake
Commandos
Conan - The Mysteries of Time
Conflict
Contra Spirits (Pirate)
Cosmic Epsilon
Cosmic Wars
Cosmo Police Galivan
Cosmos Cop (CN-08)
Cowboy Kid
Crackout
Crash 'n the Boys - Street Challenge
Crayon Shin-Chan - Ora to Poi Poi
Crayon Shin-Chan
Crazy Climber
Creatom
Crime Busters
Crisis Force
Cross Fire
Crystal Mines
Cvetnye Linii
Cycle Race - Road Man
D.J. Boy
Da Hua Xi You
Dai Meiro - Meikyuu no Tatsujin
Dai-2-Ji - Super Robot Taisen
Daikaijuu Deburas
Daiku no Gen San 2 - Akage no Dan no Gyakushuu
Daisenryaku
Daiva - Imperial of Nirsartia
Dance Aerobics
Dance Xtreme - Prima
Dancing Blocks
Dark Lord
Darkman
Darkseed
Datach - Battle Rush - Build Up Robot Tournament
Datach - Dragon Ball Z - Gekitou Tenkaichi Budou Kai
Datach - J League Super Top Players
Datach - SD Gundam - Gundam Wars
Datach - Ultraman Club - Supokon Fight!
Datach - Yuu Yuu Hakusho - Bakutou Ankoku Bujutsu Kai
Day Dreamin' Davey
Death Race
Deathbots
Deblock
Decathlon
Deep Dungeon 4 - Kuro no Youjutsushi
Deep Dungeon III - Yuushi heno Tabi
Defenders of Dynatron City
Deja Vu
Demo Boy 2
Demogorgon Monk
Derby Stallion - Zenkoku Han
Desert Commander
Devil Man
Devil World
Dezaemon
Di Dao Zhan
Diablo (NJ037)
Dian Shi Ma Li
Dig Dug
Digital Devil Monogatari - Megami Tensei II
Digital Devil Monogatari - Megami Tensei
Digital Dragon
Dizzy The Adventurer
Doctor PC Jr. - Xue Si Dian Nao
Dokuganryuu Masamune
Don Doko Don 2
Don Doko Don
Donald Land
Dong Dong Nao II - Guo Zhong Ying Wen (Middle School English II)
Donkey Kong Country 4 (Pirate)
Donkey Kong Jr. Math
Donkey Kong Jr.
Door Door
Doraemon - Giga Zombie no Gyakushuu
Doraemon
Double Dare
Double Dribble
Double Moon Densetsu
Double Strike
Dough Boy
Downtown - Nekketsu Koushin Kyoku - Soreyuke Daiundoukai
Downtown Special - Kunio-kun no Jidaigeki Dayo Zenin Shuugou!
Drac's Night Out
Dragon Ball - Dai Maou Fukkatsu
Dragon Ball 3 - Gokuu Den
Dragon Ball Z - Kyoushuu! Saiya Jin
Dragon Ball Z - Super Butouden 2 (Pirate)
Dragon Ball Z Gaiden - Saiya Jin Zetsumetsu Keikaku
Dragon Ball Z II - Gekishin Freeza!!
Dragon Ball Z III - Ressen Jinzou Ningen
Dragon Ball Z IV (Pirate)
Dragon Ball Z V (Pirate)
Dragon Buster II - Yami no Fuuin
Dragon Buster
Dragon Fighter
Dragon Quest VIII
Dragon Scroll - Yomigaerishi Maryuu
Dragon Spirit - The New Legend
Dragon Wars
Dragon, The (Pirate)
Dream Master
Drop Zone
Duck Hunt
Duck
Dudes With Attitude
Dungeon Kid
Duo Bao Xiao Ying Hao - Guang Ming yu An Hei Chuan Shuo
Dusty Diamond's All-Star Softball
Dynamite Bowl
EarthWorm Jim 2 (Pirate)
EarthWorm Jim 3 (Pirate)
Earthbound
Educational Computer 2000
Eggland - Meikyuu no Fukkatsu
Egypt
El Monstruo de Los Globos
Elite
Elysion
Emoyan no 10 Bai Pro Yakyuu
English Word Blaster V1.0
Erika to Satoru no Yume Bouken
Erunaaku no Zaihou
Escape From Atlantis, The
Esper Bouken Tai
Esper Dream 2 - Aratanaru Tatakai
Europe Sensen
EverQuest
Exciting Boxing
Exed Exes
Exerion
Exodus - Journey to the Promised Land
F-1 Race
F-117A Stealth Fighter
F-15 Strike Eagle
F1 Circus
FIFA 97 International Soccer
FIFA International 2' 96
Facemaker
Famicom Disk System BIOS
Famicom Doubutsu Seitai Zukan! - Katte ni Shirokuma - Mori wo Sukue no Maki!
Famicom Igo Nyuumon
Famicom Jump - Eiyuu Retsuden
Famicom Jump II - Saikyou no 7 Nin
Famicom Meijin Sen
Famicom Shougi - Ryuuousen
Famicom Top Management
Famicom Wars
Famicom Yakyuu Han
Family BASIC
Family Circuit '91
Family Circuit
Family Feud
Family Jockey
Family Mahjong II - Shanghai heno Michi
Family Mahjong
Family Quiz
Family School
Family Tennis
Family Trainer - Fuuun!! Takeshi Jou 2
Family Trainer - Jogging Race
Family Trainer - Meiro Daisakusen
Family Trainer - Rairai Kyonsees
Family Trainer - Totsugeki! Fuuun Takeshi-jou
Famista '89 - Kaimaku Han!!
Famista '90
Famista '91
Famista '92
Famista '93
Famista '94
Fan Kong Jing Ying
Fantasy Zone 2 - The Teardrop of Opa-Opa
Fatal Fury 2 (Pirate)
Feng Yin Dao (NJ072)
Ferrari - Grand Prix Challenge
Fester's Quest
Field Combat
Fighting Hero III
Fighting Hero
Fighting Road
Final Combat
Final Fantasy I & II
Final Fantasy II
Final Fantasy III
Final Fantasy V
Final Fantasy VII (NJ063)
Final Fight 3
Final Lap
Fire 'n Ice
Fire Dragon
Fire Emblem Gaiden
Fire Emblem
Firehouse Rescue
Flappy
Fleet Commander
Flipull - An Exciting Cube Game
Flying Hero
Flying Warriors
Fong Shen Bang - Zhu Lu Zhi Zhan
Forcity
Formation Z
Formula 1 Sensation
Foton - The Ultimate Game on Planet Earth
Front Line
Fun Blaster Pak
Fushigi no Umi no Nadia
Fuzzical Fighter
GLK Dance by FengLi
Gaiapolis
Galactic Crusader
Galaxian
Gambler Jiko Chuushin Ha - Mahjong Game
Gambler Jiko Chuushin Ha 2
Game Genie
Game Party
Ganbare Goemon 2
Ganbare Goemon Gaiden - Kieta Ougon Kiseru
Ganbare Goemon Gaiden 2 - Tenka no Zaihou
Ganbare Goemon! - Karakuri Douchuu
Ganbare Pennant Race!
Ganso Saiyuuki - Super Monkey Daibouken
Garfield - A Week of Garfield
Gargoyle's Quest II - The Demon Darkness
Garou Densetsu Special
Gauntlet
Ge Ge Ge no Kitarou 2 - Youkai Gundan no Chousen
Geimos
Gekitotsu Yonku Battle
Gemfire
Genghis Khan
Genpei Touma Den - Computer Boardgame
George Foreman's KO Boxing
Getsufuu Maden
Ghoul School
Gimmi a Break - Shijou Saikyou no Quiz Ou Ketteisen 2
Gimmi a Break - Shijou Saikyou no Quiz Ou Ketteisen
Ginga Eiyuu Densetsu
Ginga no Sannin
Go! Benny!
Goal 3
Goal!
Godzilla 2 - War of the Monsters
Golden KTV
Golf '92, The
Golf Club - Birdy Rush
Golf Ko Open
Golf
Gomoku Narabe
Goonies, The
Gorby no Pipeline Daisakusen
Gorilla Man, The
Gozonji - Yaji Kita Chin Douchuu
Gradius II
Grand Master
Great Battle Cyber
Great Deal
Great Wall, The
Greg Norman's Golf Power
Gu Mu Li Ying
Gun Hed
Gun-Nac
Gun.Smoke
Gyrodine
HVC Kensa Cassette Contlorer Test (Sample)
Hacker, The
Haja no Fuuin
Hammerin' Harry
Hana no Star Kaidou
Hanafuda Yuukyou Den - Nagarebana Oryuu
Hanjuku Eiyuu
Happy Pairs
Harry Story
Harry's Legend (Pirate)
Harvest Moon
Hatris
Hayauchi Super Igo
He Xin Wei Ji
Heisei Tensai Bakabon
Hell Fighter
Hello Kitty World
Hello Kitty no Ohanabatake
Herakles no Eikou - Toujin Makyou Den
Herakles no Eikou 2 - Titan no Metsubou
Hero Quest
Hero on Devil Lands
High Speed
Hinotori - Houou Hen - Gaou no Bouken
Hirake! Ponkikki
Hiryuu no Ken II - Dragon no Tsubasa
Hiryuu no Ken Special - Fighting Wars
Hissatsu Doujou Yaburi
Hissatsu Shigoto Nin
Hit Marmot
Hit the Ice
Hokkaidou Rensa Satsujin - Okhotsk ni Kiyu
Hokuto no Ken 3 - Shin Seiki Souzou Seiken Restuden
Hokuto no Ken 4 - Shichisei Haken Den - Hokuto Shinken no Kanata he
Hokuto no Ken
Hollywood Squares
Holy Diver
Home Alone
Home Run Nighter '90 - The Pennant League
Home Run Nighter - Pennant League!!
Hon Shougi - Naitou 9 Dan Shougi Hiden
Honoo no Doukyuuji - Dodge Danpei 2
Honoo no Doukyuuji - Dodge Danpei
Hoops
Hoshi wo Miru Hito
Hot Dance 2000
Hot Slot
Hototogisu
Hottaaman no Chitei Tanken
Hu Lu Jin Gang (NJ039)
Huan Shi Lu (NJ034)
Huang Di
Huang Jin Tai Yang
Huge Insect
Hyakkiyakou
Hyaku no Sekai no Monogatari - The Tales on a Watery Wilderness
Hydlide 3 - Yami Kara no Houmonsha
Hyokkori Hyoutan Shima - Nazo no Kaizokusen
Hyper Sports
I Can Remember
I Love Softball
Ice Hockey
Ide Yousuke Meijin no Jissen Mahjong 2
Ide Yousuke Meijin no Jissen Mahjong
Idol Hakkenden
Igo - Kyuu Roban Taikyoku
Igo Meikan
Igo Shinan '91
Igo Shinan '92
Igo Shinan '93
Igo Shinan '94
Igo Shinan
Ike Ike! Nekketsu Hockey Bu - Subette Koronde Dai Rantou
Ikinari Musician
Ikki
Impossible Mission II
Incredible Crash Dummies, The
Indora no Hikari
Insector X
International Cricket
Isaki Shuugorou no Keiba Hisshou Gaku
Ishin no Arashi
Itadaki Street - Watashi no Mise ni Yottette
J-League Fighting Soccer - The King of Ace Strikers
J-League Winning Goal
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf
Jajamaru Gekimaden - Maboroshi no Kinmajou
Jajamaru no Daibouken
Jangou
Jarinko Chie - Bakudan Musume no Shiawase Sagashi
Jeopardy!
Jesus - Kyoufu no Bio Monster
Ji Du Shan En Chou Ji - Le Comte de Monte-Cristo
Jia A Fung Yun
Jikuu Yuuden - Debias
Jim Henson's Muppet Adventure - Chaos at the Carnival
Jin Gwok Sei Chuen Saang
Jin Yong Qun Xia Zhuan - Shu Jian Jiang Shan (NJ031)
Jing Ke Xin Zhuan
John Elway's Quarterback
Jongbou
Jordan Vs Bird - One On One
Joshua
Journey to the West
Jovial Race
Joy Mech Fight
Joypad Test Cartridge
Jue Dai Ying Xiong
Jumbo Ozaki no Hole in One Professional
Jumpin' Kid - Jack to Mame no Ki Monogatari
Jurassic Boy 2
Just Breed
Juuouki
Juvei Quest
Kabushiki Doujou
Kaettekita! Gunjin Shougi - Nanya Sore!
Kagerou Densetsu
Kaguya Hime Densetsu
Kaijuu Monogatari
Kaiketsu Yanchamaru 2 - Karakuri Land
Kaiketsu Yanchamaru 3 - Taiketsu! Zouringen
Kamen Rider Club - Gekitotsu Shocker Land
Kamen Rider SD - Granshocker no Yabou
Kamen no Ninja - Akakage
Kamen no Ninja - Hanamaru
Kanshakudama Nage Kantarou no Toukaidou Gojuusan Tsugi
Karakuri Kengou Den - Musashi Road - Karakuri Nin Hashiru!
Karaoke Studio
Karate Champ
Karateka
Kart Fighter (Pirate)
Kawa no Nushi Tsuri
Keiba Simulation - Honmei
Kero Kero Keroppi no Daibouken 2 - Donuts Ike ha Oosawagi!
Kero Kero Keroppi no Daibouken
Keroppi to Keroriinu no Splash Bomb!
Kibord 003
Kick Off
King Kong 2 - Ikari no Megaton Punch
King Neptune's Adventure
King of Fighters 96, The (Pirate)
King of Fighters 97, The (Pirate)
King of Fighters 99, The (Pirate)
King of Kings - Early Years, The
King of Kings
King's Quest V
Kings of the Beach
Kiteretsu Dai Hyakka
Konami Hyper Soccer
Korean Igo
Kou Dai Bao Shi - Yin
Kouryuu Densetsu Villgust Gaiden
Koushien
Krazy Kreatures
Kujaku Ou 2
Kujaku Ou
Kunio-kun no Nekketsu Soccer League
Kurogane Hiroshi no Yosou Daisuki! - Kachiuma Densetsu
Kyatto Ninden Teyandee
Kyonshiizu 2
Kyouryuu Sentai Juuranger
Kyuukyoku Harikiri Koushien
Kyuukyoku Harikiri Stadium - Heisei Gannen Han
Kyuukyoku Harikiri Stadium 3
Kyuukyoku Harikiri Stadium
L'Empereur
Labyrinth
Ladies Golf
Lagrange Point
Laser Invasion
Last Armageddon
Last Ninja, The
Law of the West
Layla
Lee Trevino's Fighting Golf
Legend of Prince Valiant, The
Legend of Robin Hood, The
Legend of the Ghost Lion
Lei Dian Huang Bi Ka Qiu Chuan Shuo (NJ046)
Liang Shan Ying Xiong (NJ023)
Lin Ze Xu Jin Yan
Linus Spacehead's Cosmic Crusade
Lion King III, The Simon and Pumba (Pirate)
Lion King, The (1995) (Pirate)
Lion King, The
Lipple Island
Little League Baseball - Championship Series
Little Magic
Little Ninja Brothers
Little Red Hood
Locksmith
Loopz
Lost Word of Jenny
Lot Lot
Lu Ye Xian Zong
Lucky 777
Lunar Pool
Lupin Sansei - Pandora no Isan
M&M Heroes
M82 Game Selectable Working Product Display
Ma Bu Mi Zhen & Qu Wei Cheng Yu Wu
Ma Li 12
Mach Rider
Magic Block
Magic Candle, The
Magic Cubes
Magic Darts
Magic Dragon (Pirate)
Magic Jewelry (Pirate)
Magic Jewelry 2 (Pirate)
Magic Johnson's Fast Break
Magic Mathematic
Magical Taruruuto-kun - Fantastic World!!
Magical Taruruuto-kun 2 - Mahou Daibouken
Magician
Magnum Kiki Ippatsu - Empire City - 1931
Maharaja
Mahjan Samit Kabukicho Hen
Mahjang Companion
Mahjong Academy
Mahjong Block (MGC-008)
Mahjong Club - Nagatachou
Mahjong RPG Dora Dora Dora
Mahjong Taikai
Mahjong Taisen
Mahjong World
Mahjong
Mahou no Princess Minky Momo - Remember Dream
Maison Ikkoku
Majaventure - Mahjong Senki
Major League Baseball
Major League
Majou Densetsu II -Daimashikyou Galious
Makai Island
Maniac Mansion
Mappy Kids
Mappy
Mario is Missing!
Mario's Time Machine!
Marusa no Onna
Mashin Eiyuu Den Wataru Gaiden
Master Chu & The Drunkard Hu
Master Shooter (CN-26)
Masuzoe Youichi - Asa Made Famicom
Matsumoto Tooru no Kabushiki Hisshou Gaku 2
Matsumoto Tooru no Kabushiki Hisshou Gaku
McDonaldLand
Mei Guo Fu Hao
Mei Nu Quan (Honey Peach)
Mei Tantei Holmes - Kiri no London Satsujin Jiken
Mei Tantei Holmes - M Kara no Chousenjou
Meiji Ishin
Meikyuu Jiin Dababa (FDS Conversion)
Meimon! Dai San Yakyuu Bu
Meimon! Takonishi Ouendan - Kouha 6 Nin Shuu
Melville's Flame
Menace Beach
Meng Huan
Metal Fighter
Metal Force
Metal Max
Metal Slader Glory
Metro-Cross
Mezase Pachi Pro - Pachio-kun
Mezase Top Pro - Green ni Kakeru Yume
Mi Hun Che
Michael Andretti's World Grand Prix
Mickey Mania (Pirate)
Mickey Mouse - Dream Balloon
Mickey's Adventures in Numberland
Mickey's Safari in Letterland
Might and Magic
Millionaire
Mind Blower Pak
Mindseeker
Minelvaton Saga
Mini Putt
Minna no Taabou no Nakayoshi Daisakusen
Miracle Piano Teaching System, The
Miracle Ropit's Adventure in 2100
Mirai Senshi - Lios
Mirai Shinwa Jarvas
Mission Cobra
Mississippi Satsujin Jiken
Mito Koumon - Sekai Manyuu Ki
Mitsume ga Tooru
Mizushima Shinji no Dai Koushien
Mo Jie Ba Zhu
Moai-kun
Mobile Suit Z Gundam - Hot Scramble
Moero!! Juudou Warriors
Moeru! Oniisan
Momotarou Densetsu Gaiden
Momotarou Densetsu
Momotarou Dentetsu
Money Game 2 - Kabutochou no Kiseki, The
Money Game, The
Monster In My Pocket
Monster Maker - 7 Tsu no Hihou
Monster Truck Rally
Moon Crystal
Moon Ranger
Morita Kazuo no Shougi
Morskoy Boy
Mortal Kombat (Pirate)
Mortal Kombat Special (Pirate)
Mortal Kombat Variations (Pirates)
Motocross Champion
Mottomo Abunai Deka
Mouryou Senki Madara
Mr. Gimmick
Multi-Game Pirate Carts
Musashi no Bouken
Musashi no Ken - Tadaima Shugyou Chuu
My Life My Love - Boku no Yume - Watashi no Negai
Myth Struggle
NBA Jam 2
NES Open Tournament Golf
NES PowerPad Test Cart
NES Test Cart (Official Nintendo)
NFL Football
NTF2 System Cart
Nagagutsu wo Haita Neko - Sekai Isshuu 80 Nichi Daibouken
Nakajima Satoru - F-1 Hero 2
Nakayoshi to Issho
Namco Classic II
Namco Classic
Namcot Mahjong 3 - Mahjong Tengoku
Nangoku Shirei!! - Spy Vs Spy
Nantettatte!! Baseball '91 Kaimaku Hen
Nantettatte!! Baseball OB Allstar Hen
Nantettatte!! Baseball
Napoleon Senki
Napoleon's War
Navy Blue
Ne Zha Chuan Qi (NJ036)
Nekketsu Kakutou Densetsu
Nekketsu! Street Basket - Ganbare Dunk Heroes
New Ghostbusters II
Nichibutsu Mahjong 3 - Mahjong G Men
Nightshade
Nihonichi no Mei Kantoku
Niji no Silk Road
Ninja Hattori-kun - Ninja wa Shuugyou de Gozaru no Maki
Ninja Jajamaru-kun
Ninja-kun - Ashura no Shou
Ninja-kun - Majou no Bouken
Ninjara Hoi!
Nintendo World Championships 1990
Nishimura Kyoutarou Mystery - Blue Train Satsujin Jiken
Nishimura Kyoutarou Mystery - Super Express Satsujin Jiken
Noah's Ark
Nobunaga no Yabou - Bushou Fuuun Roku
Nobunaga no Yabou - Zenkoku Ban
Nobunaga's Ambition 2
Nobunaga's Ambition
Nuts & Milk
Obocchama-kun
Ochin ni Toshi Puzzle Tonjan!
Oeka Kids - Anpanman no Hiragana Daisuki
Oeka Kids - Anpanman to Oekaki Shiyou!!
Oishinbo
Olympic IQ
Onyanko Town
Operation Secret Storm
Orb 3D
Osomatsu-kun
Otaku no Seiza - An Adventure in the Otaku Galaxy
Othello
Outlanders
Over Horizon
Overlord
P'radikus Conflict, The
Paaman - Enban wo Torikaese!!
Paaman Part 2 - Himitsu Kessha Madoodan wo Taose!
Pac-Land
Pac-Mania
Pachi Com
Pachi-Slot Adventure 2 - Sorotta-kun no Pachi Slot Tanteidan
Pachi-Slot Adventure 3 - Bitaoshii 7 Kenzan!
Pachinko Daisakusen 2
Pachinko Daisakusen
Pachio-kun 2
Pachio-kun 3
Pachio-kun 4
Pachio-kun 5
Palamedes 2 - Star Twinkles
Palamedes
Panda Prince, The (Pirate)
Parallel World
Parasol Henbee
Parasol Stars - The Story of Bubble Bobble 3
Paris-Dakar Rally Special
Parodius
Peek-A-Boo Poker
Peepar Time
Penguin & Seal, The
Penguin-kun Wars
Perfect Bowling
Perfect Fit
Pescatore
Pesterminator - The Western Exterminator
Phantom Air Mission
Pi Nuo Cao De Fu Su
Pictionary
Pinball Quest
Pipe 5
Pirates!
Pizza Pop!
Plasma Ball
Po Po Team
Pocahontas (Pirate)
Pocahontas 2 (Pirate)
Pocket Monster (Pirate)
Pocket Monsters Red
Pocket Zaurus - Juu Ouken no Nazo
Poke Block
Poke Tetris
Pokemon Gold (Pirate)
Poker II
Poker III
Poker Mahjong
Pole Chudes 2
Pole Chudes
Pooyan
Popeye no Eigo Asobi
Port Test Cartridge
Portopia Renzoku Satsujin Jiken
Power Blazer
Power Punch 2
Power Rangers III (Pirate)
Power Soccer
Pravila Dorozhnogo Dvizheniya
President no Sentaku
Prince of Persia
Princess Tomato in Salad Kingdom
Pro Action Replay
Pro Yakyuu Satsujin Jiken!
Project Q
Public Domain
Punch-Out!!
Puteshestvie po Evropa
Puyo Puyo
Puzslot
Puzzle
Pyokotan no Dai Meiro
Pyramid II
Pyramid
Q Boy
Qi Guo Da Zhan (NJ029)
Qi Wang - Chinese Chess
Quarter Back Scramble
Quarth
Quattro Sports
Quest of Ki, The
R.B.I. Baseball 2
R.B.I. Baseball 3
R.B.I. Baseball
RPG Jinsei Game
Racer Mini Yonku - Japan Cup
Racermate Challenger II V6.02.002
Racket Attack
Rackets & Rivals
Rad Racer 2
Rad Racket - Deluxe Tennis II
Radia Senki - Reimei Hen
Raid 2020
Rainbow Islands - The Story of Bubble Bobble 2
Rampart
Rasaaru Ishii no Childs Quest
Remote Control
Rescue - The Embassy Mission
Road Fighter
RoboCop 2
RoboCop Vs The Terminator
Robocco Wars
Robodemons
Rock 'n' Ball
Rockball
Rocman X (aka Thunder Blaster Man)
Rod Land
Rokudenashi Blues
Romance of The Three Kingdoms II
Romance of The Three Kingdoms
Romancia
Roundball - 2-on-2 Challenge
Route 16 Turbo
Rygar
SD Battle Oozumou - Heisei Hero Basho
SD Gundam - Gachapon Senshi 2 - Capsule Senki
SD Gundam - Gachapon Senshi 3 - Eiyuu Senki
SD Gundam - Gachapon Senshi 4 - New Type Story
SD Gundam - Gachapon Senshi 5 - Battle of Universal Century
SD Gundam Gaiden - Knight Gundam Monogatari 2 - Hikari no Kishi
SD Gundam Gaiden - Knight Gundam Monogatari 3 - Densetsu no Kishi Dan
SD Gundam Gaiden - Knight Gundam Monogatari
SD Hero Soukessen - Taose! Aku no Gundan
SD Keiji - Blader
SD Sengoku Bushou Retsuden
SWAT - Special Weapons and Tactics
Saint Saiya - Tian Ma Huan Xiang
Saint Seiya - Ougon Densetsu Kanketsu Hen
Saint Seiya - Ougon Densetsu
Saiyuuki World
Sakigake!! Otoko Juku - Shippuu Ichi Gou Sei
Samurai Spirits (Pirate)
San Guo Zhi - CaoCao Zhuan (NJ018)
San Guo Zhi - Qun Xiong Zheng Ba
San Guo Zhi 2
San Guo Zhi 4 - Chi Bi Feng Yun
San Guo Zhong Lie Zhuan
San Shi Liu Ji
Sanada Juu Yuushi
Sangokushi - Chuugen no Hasha
Sangokushi II - Haou no Tairiku
Sanma no Mei Tantei
Sanrio Carnival 2
Sanrio Carnival
Sanrio Cup - Pon Pon Volley
Sansara Naga
Sansuu 1 Nen - Keisan Game
Sansuu 2 Nen - Keisan Game
Sansuu 3 Nen - Keisan Game
Sansuu 4 Nen - Keisan Game
Sansuu 5 & 6 Nen - Keisan Game
Satomi Hakkenden
Satsui no Kaisou - Power Soft Satsujin Jiken
Satsujin Club
Scarabeus
Sea of Dreamland
Secret Scout in the Temple of Demise
Secret Ties
Seikima II - Akuma no Gyakushuu
Seirei Gari
Seiryaku Simulation - Inbou no Wakusei - Shancara
Sekiryuuou
Sesame Street 123 - ABC
Sesame Street 123
Sesame Street ABC
Sesame Street Countdown
Shadow Brain
Shadowgate
Shaffle Fight
Shang Gu Shen Jian
Shanghai 2
Shanghai Tycoon
Shanghai
Shen Hua Jian Yun III
Shen Tan Ke Nan
Sheng Hen Pao (AKA Twin Loud Cannon)
Sheng Huo Lie Zhuan
Sherlock Holmes - Hakushaku Reijou Yuukai Jiken
Shikinjou
Shin 4 Nin Uchi Mahjong - Yakuman Tengoku
Shin Moero!! Pro Yakyuu
Shin Samurai Spirits 2 - Haoumaru Jigoku Hen
Shin Satomi Hakken-Den - Hikari to Yami no Tatakai
Shingen The Ruler
Shinsenden
Shisen Mahjong - Seifuku Hen
Shisen Mahjong 2
Shisen Mahjong
Shockwave
Short Order - Eggsplode
Shougi Meikan '92
Shougi Meikan '93
Shougun
Shoukoushi Ceddie
Shounen Ashibe - Nepal Daibouken no Maki
Shu Qi Yu - Zhi Li Xiao Zhuan Yuan
Shufflepuck Cafe
Shui Guan Pipe
Shui Guo Li
Shui Hu Shen Shou (NJ019)
Shui Hu Zhuan
Si Lu Chuan Qi
Side Pocket
Sidewinder
Silent Assault
Silva Saga
Silver Eagle
Skate or Die!
Sky Destroyer
Smash Ping Pong
Smurfs, The
Snoopy's Silly Sports Spectacular
Snowboard Challenge
Soccer League - Winner's Cup
Solitaire
Son Son
Sonic 3D Blast (Pirate)
Sonic The Hedgehog (Pirate)
Sore Ike! Anapanman - Minna de Hiking Game!
Space Boy
Space Harrier
Space Hunter
Space Invaders
Space Shadow
Space Shuttle Project
Spartan X 2
