1942(tm) Game	1942
Kiwi Kraze(tm) Game	Kiwi Kraze - A Bird-Brained Adventure!
Klax(tm) Game	Klax
Knight Rider(tm) Game	Knight Rider
Krusty's Fun House (tm) Game	Krusty's Fun House
Kung Fu Heroes(tm) Game	Kung-Fu Heroes
Kung Fu(tm) Game	Kung Fu
Last Action Hero (tm) Game	Last Action Hero
Legacy of the Wizard(tm) Game	Legacy of the Wizard
Legendary Wings(tm) Game	Legendary Wings
Legends of the Diamond(tm) Game	Legends of the Diamond - The Baseball Championship Game
Lemmings(tm) Game	Lemmings
Lethal Weapon (tm) Game	Lethal Weapon
Life Force(tm) Game	Life Force
Little Nemo: The Dream Master(tm) Game	Little Nemo - The Dream Master
Little Samson (tm) Game	Little Samson
Lode Runner(tm) Game	Lode Runner
Low G Man(tm) Game	Low G Man - The Low Gravity Man
M.C. Kids(tm) Game	M.C Kids
M.U.L.E.(tm) Game	M.U.L.E.
M.U.S.C.L.E.(tm) Game	M.U.S.C.L.E.
MIG 29 Soviet Fighter (tm) Game	MiG 29 - Soviet Fighter
Mad Max(tm) Game	Mad Max
MagMax(tm) Game	Magmax
Mappy Land(tm) Game	Mappy-Land
Marble Madness(tm) Game	Marble Madness
Mario Bros.(tm) Game	Mario Bros.
Mechanized Attack(tm) Game	Mechanized Attack
Mega Man 6(tm) Game	Megaman VI
MegaMan 2(tm) Game	Megaman II
MegaMan 3(tm) Game	Megaman III
MegaMan 4(tm) Game	Megaman IV
MegaMan 5(tm) Game	Megaman V
MegaMan(tm) Game	Megaman
Mendel Palace(tm) Game	Mendel Palace
Metal Gear(tm) Game	Metal Gear
Metal Mech(tm) Game	Metal Mech - Man & Machine
Metal Storm(tm) Game	Metal Storm
Metroid(tm) Game	Metroid
Mickey Mousecapade(tm) Game	Mickey Mousecapade
Micro Machines(tm) The Official Video Game	Micro Machines
Mighty Bomb Jack(tm) Game	Mighty Bomb Jack
Mighty Final Fight(tm) Game	Mighty Final Fight
Millipede(tm) Game	Millipede
Milon's Secret Castle(tm) Game	Milon's Secret Castle
Mission: Impossible(tm) Game	Mission - Impossible
Monopoly(tm) Game	Monopoly
Monster Party (tm) Game	Monster Party
Motor City Patrol(tm) Game	Motor City Patrol
Ms. Pac-Man(tm) Game	Ms. Pac-Man
Mystery Quest(tm) Game	Mystery Quest
NES Play Action Football(tm) Game	NES Play Action Football
Narc(tm) Game	NARC
Nigel Mansell's World Championship Racing(tm) Game	Nigel Mansell's World Championship Challenge
Ninja Crusaders(tm) Game	Ninja Crusaders
Ninja Gaiden II(tm) Game	Ninja Gaiden II - The Dark Sword of Chaos
Ninja Gaiden III The Ancient Ship of Doom(tm) Game	Ninja Gaiden III - The Ancient Ship of Doom
Ninja Gaiden(tm) Game	Ninja Gaiden
Ninja Kid(tm) Game	Ninja Kid
North & South (tm) Game	North & South
Operation Wolf(tm) Game	Operation Wolf
P.O.W.(tm) Game	UNKNOWN
Pac Man(tm) Game	Pac-Man
Panic Restaurant(tm) Game	Panic Restaurant
Paper Boy(tm) Game	Paperboy
Paperboy 2(tm) Game	Paperboy 2
Phantom Fighter(tm) Game	Phantom Fighter
Pin-Bot(tm) Game	Pin Bot
Pinball Game	Pinball
Pipe Dream(tm) Game	Pipe Dream
Platoon(tm) Game	Platoon
Popeye(tm) Game	Popeye
Power Blade 2 (tm) Game	Power Blade 2
Power Blade(tm) Game	Power Blade
Predator(tm) Game	Predator
Pro Sport Hockey (tm) Game	Pro Sport Hockey
Pro Wrestling(tm) Game	Pro Wrestling
Pugsley's Scavenger Hunt (tm) Game	UNKNOWN
Puss 'n Boots--Pero's Great Adventure(tm) Game	Puss 'n Boots - Pero's Great Adventure
Puzznic(tm) Game	Puzznic
Q*Bert(tm) Game	Q-bert
Qix(tm) Game	Qix
Quattro Adventure(tm) Game	Quattro Adventure
Quattro Arcade(tm) Game	Quattro Arcade
R.C. Pro-Am II(tm) Game	R.C. Pro-Am II
RC Pro Am(tm) Game	R.C. Pro-Am
Rad Racer(tm) Game	Rad Racer
Raid on Bungeling Bay(tm) Game	Raid on Bungeling Bay
Rally Bike(tm) Game	Rally Bike
Rambo(tm) Game	Rambo
Rampage(tm) Game	Rampage
Renegade(tm) Game	Renegade
Ring King(tm) Game	Ring King
River City Ransom(tm) Game	River City Ransom
Road Runner(tm) Game	Road Runner
Roadblasters(tm) Game	RoadBlasters
Robin Hood: Prince of Thieves(tm) Game	Robin Hood - Prince of Thieves
RoboCop(tm) Game	RoboCop
RoboWarrior(tm) Game	Robo Warrior
Robocop 3(tm) Game	RoboCop 3
Rocket Ranger(tm) Game	Rocket Ranger
Rocketeer(tm) Game	Rocketeer, The
Roger Clemens' MVP Baseball(tm) Game	Roger Clemens' MVP Baseball
Roller Ball(tm) Game	Rollerball
Rollerblade Racer(tm) Game	Rollerblade Racer
Rollergames (tm) Game	Rollergames
Rolling Thunder(tm) Game	Rolling Thunder
Rush'N'Attack(tm) Game	Rush'n Attack
S.C.A.T.(tm) Game	UNKNOWN
Section Z(tm) Game	Section Z
Seicross (tm) Game	Seicross
Shadow of the Ninja(tm) Game	Shadow of the Ninja
Shatterhand(tm) Game	Shatterhand
Shinobi(tm) Game	Shinobi
Shooting Range(tm) Game	Shooting Range
Silent Service(tm) Game	Silent Service
Silkworm(tm) Game	Silkworm
Silver Surfer(tm) Game	Silver Surfer
Skate or Die 2(tm) Game	Skate or Die 2 - The Search for Double Trouble
Ski or Die(tm) Game	Ski or Die
Skull & Crossbones (tm) Game	Skull & Crossbones
Sky Kid(tm) Game	Sky Kid
Sky Shark(tm) Game	Sky Shark
