Metroid Game                                                                     5
Mickey Mousecapade Game                                                          6
Micro Machines The Official Video Game                                           31
Mighty Bomb Jack Game                                                            11
Mighty Final Fight Game                                                          43
Millipede Game                                                                   8
Milon's Secret Castle Game                                                       6
Mission: Impossible Game                                                         10
Monopoly Game                                                                    21
Monster Party Game                                                               10
Motor City Patrol Game                                                           5
Ms. Pac-Man Game                                                                 9
Mutant Virus: Crisis in Computer World Game, The                                 8
Mystery Quest Game                                                               8
NES Play Action Football Game                                                    5
Narc Game                                                                        10
Nigel Mansell's World Championship Racing Game                                   38
Nightmare on Elm Street Game, A                                                  8
Ninja Crusaders Game                                                             14
Ninja Gaiden Game                                                                8
Ninja Gaiden II Game                                                             16
Ninja Gaiden III The Ancient Ship of Doom Game                                   9
Ninja Kid Game                                                                   16
North & South Game                                                               10
Operation Wolf Game                                                              15
P.O.W. Game                                                                      8
Pac Man Game                                                                     7
Panic Restaurant Game                                                            13
Paper Boy Game                                                                   6
Paperboy 2 Game                                                                  10
Phantom Fighter Game                                                             8
Pin-Bot Game                                                                     4
Pinball Game                                                                     4
Pipe Dream Game                                                                  10
Platoon Game                                                                     12
Popeye Game                                                                      4
Power Blade 2 Game                                                               13
Power Blade Game                                                                 9
Predator Game                                                                    7
Pro Sport Hockey Game                                                            26
Pro Wrestling Game                                                               10
Pugsley's Scavenger Hunt Game                                                    8
Punisher Game, The                                                               11
Puss 'n Boots--Pero's Great Adventure Game                                       11
Puzznic Game                                                                     10
Q*Bert Game                                                                      6
Qix Game                                                                         8
Quattro Adventure Game                                                           19
Quattro Arcade Game                                                              34
Race America Game                                                                3
Rad Racer Game                                                                   10
Raid on Bungeling Bay Game                                                       8
Rally Bike Game                                                                  7
Rambo Game                                                                       8
Rampage Game                                                                     12
RC Pro Am Game                                                                   11
R.C. Pro-Am II Game                                                              53
Ren & Stimpy Show Buckeroos Game, The                                            15
Renegade Game                                                                    10
Ring King Game                                                                   5
River City Ransom Game                                                           6
Road Runner Game                                                                 11
Roadblasters Game                                                                13
Robin Hood: Prince of Thieves Game                                               5
RoboCop Game                                                                     14
Robocop 3 Game                                                                   5
RoboWarrior Game                                                                 11
Rocket Ranger Game                                                               5
Rocketeer Game                                                                   11
Rockin' Kats Game                                                                10
Roger Clemens' MVP Baseball Game                                                 9
Roller Ball Game                                                                 2
Rollerblade Racer Game                                                           10
Rollergames Game                                                                 10
Rolling Thunder Game                                                             16
Rush'N'Attack Game                                                               7
S.C.A.T. Game                                                                    8
Section Z Game                                                                   6
Seicross Game                                                                    5
Shadow of the Ninja Game                                                         9
Shatterhand Game                                                                 8
Shinobi Game                                                                     7
Shooting Range Game                                                              11
Silent Service Game                                                              5
Silkworm Game                                                                    21
Silver Surfer Game                                                               9
Simpsons: Bart vs. The Space Mutants Game, The                                   7
